0/0	0:01:43
0/0	0:06:43
0/0	0:11:43
0/0	0:16:43
0/0	0:21:43
0/0	0:26:43
0/0	0:31:43
0/0	0:36:43
0/0	0:41:43
0/0	0:46:43
0/0	0:51:43
0/0	0:56:43
0/0	1:01:43
0/0	1:06:43
0/0	1:11:43
0/0	1:16:43
0/0	1:21:43
0/0	1:26:43
0/0	1:31:43
0/0	1:36:43
0/0	1:41:43
0/0	1:46:43
0/0	1:51:43
0/0	1:56:43
0/0	2:01:43
0/0	2:06:43
0/0	2:11:43
0/0	2:16:43
0/0	2:21:43
0/0	2:26:43
0/0	2:31:43
0/0	2:36:43
0/0	2:41:43
0/0	2:46:43
0/0	2:51:43
0/0	2:56:43
0/0	3:01:43
0/0	3:06:43
0/0	3:11:43
0/0	3:16:43
0/0	3:21:43
0/0	3:26:43
0/0	3:31:43
0/0	3:36:43
0/0	3:41:43
0/0	3:46:43
0/0	3:51:43
0/0	3:56:43
0/0	4:01:43
0/0	4:06:43
0/0	4:11:43
0/0	4:16:43
0/0	4:21:43
0/0	4:26:43
0/0	4:31:43
0/0	4:36:43
0/0	4:41:43
0/0	4:46:43
0/0	4:51:43
0/0	4:56:43
0/0	5:01:43
0/0	5:06:43
0/0	5:11:43
0/0	5:16:43
0/0	5:21:43
0/0	5:26:43
0/0	5:31:43
0/0	5:36:43
0/0	5:41:43
0/0	5:46:43
0/0	5:51:43
0/0	5:56:43
0/0	6:01:43
0/0	6:06:43
0/0	6:11:43
0/0	6:16:43
0/0	6:21:43
0/0	6:26:43
0/0	6:31:43
0/0	6:36:43
0/0	6:41:43
0/0	6:46:43
0/0	6:51:43
0/0	6:56:43
0/0	7:01:43
0/0	7:06:43
0/0	7:11:43
0/0	7:16:43
0/0	7:21:43
0/0	7:26:43
0/0	7:31:43
0/0	7:36:43
0/0	7:41:43
0/0	7:46:43
0/0	7:51:43
0/0	7:56:43
0/0	8:01:43
0/0	8:06:43
0/0	8:11:43
0/0	8:16:43
0/0	8:21:43
0/0	8:26:43
0/0	8:31:43
0/0	8:36:43
0/0	8:41:43
0/0	8:46:43
0/0	8:51:43
0/0	8:56:43
0/0	9:01:43
0/0	9:06:43
0/0	9:11:43
0/0	9:16:43
0/0	9:21:43
0/0	9:26:43
0/0	9:31:43
0/0	9:36:43
0/0	9:41:43
0/0	9:46:43
0/0	9:51:43
0/0	9:56:43
0/0	10:01:43
0/0	10:06:43
0/0	10:11:43
0/0	10:16:43
0/0	10:21:43
0/0	10:26:44
0/0	10:31:44
0/0	10:36:44
0/0	10:41:44
0/0	10:46:44
0/0	10:51:44
0/0	10:56:44
0/0	11:01:44
0/0	11:06:44
0/0	11:11:44
0/0	11:16:44
0/0	11:21:44
0/0	11:26:44
0/0	11:31:44
0/0	11:36:44
0/0	11:41:44
0/0	11:46:44
0/0	11:51:44
0/0	11:56:44
0/0	12:01:44
0/0	12:06:44
0/0	12:11:44
0/0	12:16:44
0/0	12:21:44
0/0	12:26:44
0/0	12:31:44
0/0	12:36:44
0/0	12:41:44
0/0	12:46:44
0/0	12:51:44
0/0	12:56:44
0/0	13:01:44
0/0	13:06:44
0/0	13:11:44
0/0	13:16:44
0/0	13:21:44
0/0	13:26:44
0/0	13:31:44
0/0	13:36:44
0/0	13:41:44
0/0	13:46:44
0/0	13:51:44
0/0	13:56:44
0/0	14:01:44
0/0	14:06:44
0/0	14:11:44
0/0	14:16:44
0/0	14:21:44
0/0	14:26:44
0/0	14:31:44
0/0	14:36:44
0/0	14:41:44
0/0	14:46:44
1/1	14:51:44
0/1	14:56:44
1/1	15:01:44
0/1	15:06:44
1/1	16:08:02
0/1	16:13:02
1/2	16:18:02
1/2	16:23:02
0/1	16:28:02
0/0	16:33:02
0/0	16:38:02
0/0	16:43:02
0/1	16:48:02
1/1	16:53:02
1/1	16:58:02
0/1	17:03:02
0/0	17:08:02
1/1	17:13:02
0/1	17:18:02
0/1	17:23:02
1/1	17:28:02
1/1	17:33:02
1/1	17:38:02
0/1	17:43:02
0/0	17:48:02
0/0	17:53:02
0/0	17:58:02
0/0	18:03:02
0/0	18:08:02
0/0	18:13:02
0/0	18:18:02
0/0	18:23:02
0/0	18:28:02
0/0	18:33:02
0/0	18:38:02
0/0	18:43:02
0/0	18:48:02
0/0	18:53:02
0/0	18:58:02
0/0	19:03:02
0/0	19:08:02
0/0	19:13:02
0/0	19:18:02
0/0	19:23:02
