1/1	9:59:48
1/1	10:04:48
1/1	10:09:48
1/1	10:14:48
0/1	10:19:48
0/0	10:24:48
0/0	10:29:48
0/0	10:34:48
0/0	10:39:48
0/0	10:44:48
1/1	10:49:48
0/1	10:54:48
0/0	10:59:48
0/0	11:04:48
0/0	11:09:48
0/0	11:14:48
0/0	11:19:48
0/0	11:24:48
0/0	11:29:48
0/0	11:34:48
0/0	11:39:48
0/0	11:44:48
0/0	11:49:48
0/0	11:54:48
0/0	11:59:48
0/0	12:04:48
0/0	12:09:48
0/0	12:14:48
0/0	12:19:48
0/0	12:24:48
0/0	12:29:48
0/0	12:34:48
0/0	12:39:48
0/0	12:44:48
0/0	12:49:48
0/0	12:54:48
0/0	12:59:48
0/0	13:04:48
0/0	13:09:48
1/1	13:28:19
4/4	13:33:19
4/4	13:38:19
4/4	13:43:19
4/4	13:48:19
3/4	13:53:19
1/3	13:58:19
3/3	14:03:19
2/3	14:08:19
1/2	14:13:19
0/2	14:18:19
1/1	14:23:19
0/1	14:28:19
0/0	14:33:19
3/3	14:38:19
2/3	14:43:19
2/2	14:48:19
2/2	14:53:19
3/3	14:58:19
1/3	15:03:19
1/1	15:08:19
1/1	15:13:19
1/1	15:18:19
1/1	15:23:19
1/1	15:28:19
1/1	15:33:19
1/1	15:38:19
1/1	15:43:19
1/1	15:48:19
1/1	15:53:19
1/1	15:58:19
1/1	16:03:19
1/1	16:08:19
1/1	16:13:19
1/1	16:18:19
1/1	16:23:19
1/1	16:28:19
1/1	16:33:19
1/1	16:38:19
0/1	16:43:19
0/0	16:48:19
0/0	16:53:19
0/0	16:58:19
